file,release,year,month,variable,label
2005-01JAN.xlsx,2005-01JAN,2005,1,CADJHU,Adjusted Weight(based on Number of HH per HU)
2005-01JAN.xlsx,2005-01JAN,2005,1,CADJWGT,Adjusted Weight(based on non-response)
2005-01JAN.xlsx,2005-01JAN,2005,1,CAUXINFO,HH Auxillary Info
2005-01JAN.xlsx,2005-01JAN,2005,1,CBWGT,Basic Weight
2005-01JAN.xlsx,2005-01JAN,2005,1,CC03_NEWMEM,C03-New/Same Household Member
2005-01JAN.xlsx,2005-01JAN,2005,1,CC04_LNOPRV,C04-Line Number (Previous Quarter)
2005-01JAN.xlsx,2005-01JAN,2005,1,CC05_REL,C05-Relationship to Household Head
2005-01JAN.xlsx,2005-01JAN,2005,1,CC06_SEX,C06-Sex
2005-01JAN.xlsx,2005-01JAN,2005,1,CC07_AGE,C07-Age as of Last Birthday
2005-01JAN.xlsx,2005-01JAN,2005,1,CC08_MSTAT,C08-Marital Status
2005-01JAN.xlsx,2005-01JAN,2005,1,CC09_GRADE,C09-Highest Grade Completed
2005-01JAN.xlsx,2005-01JAN,2005,1,CC101_LNO,C101-Line Number
2005-01JAN.xlsx,2005-01JAN,2005,1,CC10_CONWR,C10-Contract/Overseas Worker Indicator
2005-01JAN.xlsx,2005-01JAN,2005,1,CC12_USOCC,C12-Usual Occupation
2005-01JAN.xlsx,2005-01JAN,2005,1,CC13_WORK,C13-Did do any Work for at Least one Hour during the Past Week?
2005-01JAN.xlsx,2005-01JAN,2005,1,CC14_JOB,C14-Did Have a Job/Business during the Past Week?
2005-01JAN.xlsx,2005-01JAN,2005,1,CC16_PROCC,C16-Primary Occupation
2005-01JAN.xlsx,2005-01JAN,2005,1,CC18_PKB,C18-Kind of Business (Primary Occupation)
2005-01JAN.xlsx,2005-01JAN,2005,1,CC19_PCLASS,C19-Class of Worker (Primary Occupation)
2005-01JAN.xlsx,2005-01JAN,2005,1,CC20_NATEM,C20-Nature of Employment (Primary Occupation)
2005-01JAN.xlsx,2005-01JAN,2005,1,CC21_PNWHRS,C21-Normal Working Hours for the Day for the Past Week
2005-01JAN.xlsx,2005-01JAN,2005,1,CC22_PHOURS,C22-Total Number of Hours Worked During the Past Week
2005-01JAN.xlsx,2005-01JAN,2005,1,CC23_PWMORE,C23-Did Want more Hours of Work During the Past Week
2005-01JAN.xlsx,2005-01JAN,2005,1,CC24_PLADDW,C24-Did Look for Additional Work During the Past Week
2005-01JAN.xlsx,2005-01JAN,2005,1,CC25_PFWRK,C25-Was this his first time to do any Work?
2005-01JAN.xlsx,2005-01JAN,2005,1,CC26_PBASIS,C26-Basis of Payment (Primary Occupation)
2005-01JAN.xlsx,2005-01JAN,2005,1,CC27_PBASIC,C27-Basic Pay per Day (Primary Occupation)
2005-01JAN.xlsx,2005-01JAN,2005,1,CC28_OJOB,C28-Other Job Indicator
2005-01JAN.xlsx,2005-01JAN,2005,1,CC30_OTOCC,C30-Other Occupation
2005-01JAN.xlsx,2005-01JAN,2005,1,CC32_OKB,C32-Kind of Business (Other Occupation)
2005-01JAN.xlsx,2005-01JAN,2005,1,CC33_OCLASS,C33-Class of Worker (Other Occupation)
2005-01JAN.xlsx,2005-01JAN,2005,1,CC34_OHOURS,C34-Number of Hours Worked (Other Occupation)
2005-01JAN.xlsx,2005-01JAN,2005,1,CC35_OBASIS,C35-Basis of Payment (Other Occupayion)
2005-01JAN.xlsx,2005-01JAN,2005,1,CC36_OBASIC,C36-Basic Pay per Day (Other Occupation)
2005-01JAN.xlsx,2005-01JAN,2005,1,CC37_AVAIL,C37-Was Available for Work During the Past Week?
2005-01JAN.xlsx,2005-01JAN,2005,1,CC38_LOOKW,C38-Did Look For Work Anytime During the Past Week?
2005-01JAN.xlsx,2005-01JAN,2005,1,CC39_JOBSM,C39-What Was He Has Been Doing to Find Work During the Past Week?
2005-01JAN.xlsx,2005-01JAN,2005,1,CC40_WEEKS,C40-Number of Weeks Spent in Looking for Work
2005-01JAN.xlsx,2005-01JAN,2005,1,CC41_FLWRK,C41-Was This His First Time to Look For Work?
2005-01JAN.xlsx,2005-01JAN,2005,1,CC42_WYNOT,C42-Why Did He not Look for Work?
2005-01JAN.xlsx,2005-01JAN,2005,1,CC43_LBEF,C43-Did He Ever Work At Anytime Before?
2005-01JAN.xlsx,2005-01JAN,2005,1,CC45_POCC,C45-Previous Occupation
2005-01JAN.xlsx,2005-01JAN,2005,1,CEMPST1,NSO Employment Status
2005-01JAN.xlsx,2005-01JAN,2005,1,CEMPST2,Employment Status with Availability Criterion
2005-01JAN.xlsx,2005-01JAN,2005,1,CEXPUEMP,Experienced Unemployed
2005-01JAN.xlsx,2005-01JAN,2005,1,CFWGT,Final Weight
2005-01JAN.xlsx,2005-01JAN,2005,1,CINTVW,Interview Status
2005-01JAN.xlsx,2005-01JAN,2005,1,CMBDIED,HH Member - Died
2005-01JAN.xlsx,2005-01JAN,2005,1,CMBJOB,HH Member - Got Job
2005-01JAN.xlsx,2005-01JAN,2005,1,CMBMARR,HH Member - Married
2005-01JAN.xlsx,2005-01JAN,2005,1,CMBOTHR,HH Member - Others
2005-01JAN.xlsx,2005-01JAN,2005,1,CMBOUT,HH Member Moved Out
2005-01JAN.xlsx,2005-01JAN,2005,1,CMBSTUD,HH Member - Studying
2005-01JAN.xlsx,2005-01JAN,2005,1,CNEWENT,New Entrants
2005-01JAN.xlsx,2005-01JAN,2005,1,CNEWMEM,HH New Member
2005-01JAN.xlsx,2005-01JAN,2005,1,CREG,Region
2005-01JAN.xlsx,2005-01JAN,2005,1,CRLNO,Line Number of Respondent
2005-01JAN.xlsx,2005-01JAN,2005,1,CTHHHU,Number of HH for the Housing Unit
2005-01JAN.xlsx,2005-01JAN,2005,1,CUNDEMP,UnderEmployed
2005-01JAN.xlsx,2005-01JAN,2005,1,CVUEMP,Visibly UnderEmployed
2005-01JAN.xlsx,2005-01JAN,2005,1,EA_UNIQUE,EA (Unique)
2005-01JAN.xlsx,2005-01JAN,2005,1,FILLE06,For NSO use only
2005-01JAN.xlsx,2005-01JAN,2005,1,FILLER07,For NSO use only
2005-01JAN.xlsx,2005-01JAN,2005,1,FILLER08,For NSO use only
2005-01JAN.xlsx,2005-01JAN,2005,1,FILLER09,For NSO use only
2005-01JAN.xlsx,2005-01JAN,2005,1,FILLER10,For NSO use only
2005-01JAN.xlsx,2005-01JAN,2005,1,FILLER11,For NSO use only
2005-01JAN.xlsx,2005-01JAN,2005,1,FILLER12,For NSO use only
2005-01JAN.xlsx,2005-01JAN,2005,1,FILLER13,For NSO use only
2005-01JAN.xlsx,2005-01JAN,2005,1,FILLER14,For NSO use only
2005-01JAN.xlsx,2005-01JAN,2005,1,FILLER15,For NSO use only
2005-01JAN.xlsx,2005-01JAN,2005,1,FILLER16,For NSO use only
2005-01JAN.xlsx,2005-01JAN,2005,1,FILLER17,For NSO use only
2005-01JAN.xlsx,2005-01JAN,2005,1,FILLER18,For NSO use only
2005-01JAN.xlsx,2005-01JAN,2005,1,FILLER19,For NSO use only
2005-01JAN.xlsx,2005-01JAN,2005,1,FILLER20,For NSO use only
2005-01JAN.xlsx,2005-01JAN,2005,1,FILLER21,For NSO use only
2005-01JAN.xlsx,2005-01JAN,2005,1,FILLER22,For NSO use only
2005-01JAN.xlsx,2005-01JAN,2005,1,HCN,Household Control Number
2005-01JAN.xlsx,2005-01JAN,2005,1,PSU,PSU
2005-01JAN.xlsx,2005-01JAN,2005,1,SHSN,Shsn
2005-01JAN.xlsx,2005-01JAN,2005,1,STRATUM,Stratum
2005-01JAN.xlsx,2005-01JAN,2005,1,SVYMO,Survey Month
2005-01JAN.xlsx,2005-01JAN,2005,1,SVYYR,Survey Year
2005-01JAN.xlsx,2005-01JAN,2005,1,UPDIND,Update Indicator
2005-07JUL.xlsx,2005-07JUL,2005,7,A01_HHEAD,Name of Household Head (April 2005)
2005-07JUL.xlsx,2005-07JUL,2005,7,A02_CURSCH,Currently Attending School (April 2005)
2005-07JUL.xlsx,2005-07JUL,2005,7,A03_JOBS,Number of Jobs during the past week (April 2005)
2005-07JUL.xlsx,2005-07JUL,2005,7,A04_THOURS,Total Hours Worked for all Jobs (April 2005)
2005-07JUL.xlsx,2005-07JUL,2005,7,A05_RWM48H,Reasons for Working More than 48 Hours during the past week (April 2005)
2005-07JUL.xlsx,2005-07JUL,2005,7,A06_LTLOOKW,When Last Looked for Work (April 2005)
2005-07JUL.xlsx,2005-07JUL,2005,7,A07_WILLING,Willingness to take up work during the past week (April 2005)
2005-07JUL.xlsx,2005-07JUL,2005,7,A08_WPQTR,Did work or had a job during the past quarter (April 2005)
2005-07JUL.xlsx,2005-07JUL,2005,7,A09F2_PQKB,Kind of Business (past quarter) (April 2005) 1st 2 digit
2005-07JUL.xlsx,2005-07JUL,2005,7,A09L2_PQKB,Kind of Business (past quarter) (April 2005) Last 2 digit
2005-07JUL.xlsx,2005-07JUL,2005,7,ADJHU,Adjusted Weight(based on Number of HH per HU)
2005-07JUL.xlsx,2005-07JUL,2005,7,ADJNR,Adjusted Weight(based on non-response)
2005-07JUL.xlsx,2005-07JUL,2005,7,AISDEMPSTAT,International Standard Definition Employment Status (April 2005) - not used
2005-07JUL.xlsx,2005-07JUL,2005,7,ANSODWRKR,NSO Discouraged Worker (April 2005) - not used
2005-07JUL.xlsx,2005-07JUL,2005,7,ANSOEMPSTAT,NSO New Employment Status (April 2005) - not used
2005-07JUL.xlsx,2005-07JUL,2005,7,ANSOEXPUNEMP,NSO Experienced Unemployed (April 2005) - not used
2005-07JUL.xlsx,2005-07JUL,2005,7,ANSONEWENT,NSO New Entrants (April 2005) - not used
