variable,file_count,year_range,years,first_seen,last_seen,has_gaps,gap_details,mapped_to,in_target_schema,files
PUFNEWEMPSTAT,60,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFNEWEMPSTAT,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-02FEB.csv;2021-03MAR.csv;2021-04APR.csv;2021-05MAY.csv;2021-06JUN.csv;2021-07JUL.csv;2021-08AUG.CSV;2021-09SEP.CSV;2021-10OCT.CSV;2021-11NOV.CSV;2021-12DEC.CSV;2022-01JAN.csv;2022-02FEB.csv;2022-03MAR.csv;2022-04APR.csv;2022-05MAY.csv;2022-06JUN.csv;2022-07JUL.CSV;2022-08AUG.CSV;2022-09SEP.CSV;2022-10OCT.CSV;2022-11NOV.CSV;2022-12DEC.CSV;2023-01JAN.CSV;2023-02FEB.CSV;2023-03MAR.CSV;2023-04APR.CSV;2023-05MAY.CSV;2023-06JUN.CSV;2023-07JUL.CSV;2023-08AUG.CSV;2023-09SEP.CSV;2023-10OCT.CSV;2023-11NOV.CSV;2023-12DEC.CSV;2024-01JAN.CSV;2024-02FEB.CSV;2024-03MAR.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFHHSIZE,60,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFHHSIZE,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-02FEB.csv;2021-03MAR.csv;2021-04APR.csv;2021-05MAY.csv;2021-06JUN.csv;2021-07JUL.csv;2021-08AUG.CSV;2021-09SEP.CSV;2021-10OCT.CSV;2021-11NOV.CSV;2021-12DEC.CSV;2022-01JAN.csv;2022-02FEB.csv;2022-03MAR.csv;2022-04APR.csv;2022-05MAY.csv;2022-06JUN.csv;2022-07JUL.CSV;2022-08AUG.CSV;2022-09SEP.CSV;2022-10OCT.CSV;2022-11NOV.CSV;2022-12DEC.CSV;2023-01JAN.CSV;2023-02FEB.CSV;2023-03MAR.CSV;2023-04APR.CSV;2023-05MAY.CSV;2023-06JUN.CSV;2023-07JUL.CSV;2023-08AUG.CSV;2023-09SEP.CSV;2023-10OCT.CSV;2023-11NOV.CSV;2023-12DEC.CSV;2024-01JAN.CSV;2024-02FEB.CSV;2024-03MAR.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFRPL,60,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFRPL,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-02FEB.csv;2021-03MAR.csv;2021-04APR.csv;2021-05MAY.csv;2021-06JUN.csv;2021-07JUL.csv;2021-08AUG.CSV;2021-09SEP.CSV;2021-10OCT.CSV;2021-11NOV.CSV;2021-12DEC.CSV;2022-01JAN.csv;2022-02FEB.csv;2022-03MAR.csv;2022-04APR.csv;2022-05MAY.csv;2022-06JUN.csv;2022-07JUL.CSV;2022-08AUG.CSV;2022-09SEP.CSV;2022-10OCT.CSV;2022-11NOV.CSV;2022-12DEC.CSV;2023-01JAN.CSV;2023-02FEB.CSV;2023-03MAR.CSV;2023-04APR.CSV;2023-05MAY.CSV;2023-06JUN.CSV;2023-07JUL.CSV;2023-08AUG.CSV;2023-09SEP.CSV;2023-10OCT.CSV;2023-11NOV.CSV;2023-12DEC.CSV;2024-01JAN.CSV;2024-02FEB.CSV;2024-03MAR.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC03_REL,60,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC03_REL,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-02FEB.csv;2021-03MAR.csv;2021-04APR.csv;2021-05MAY.csv;2021-06JUN.csv;2021-07JUL.csv;2021-08AUG.CSV;2021-09SEP.CSV;2021-10OCT.CSV;2021-11NOV.CSV;2021-12DEC.CSV;2022-01JAN.csv;2022-02FEB.csv;2022-03MAR.csv;2022-04APR.csv;2022-05MAY.csv;2022-06JUN.csv;2022-07JUL.CSV;2022-08AUG.CSV;2022-09SEP.CSV;2022-10OCT.CSV;2022-11NOV.CSV;2022-12DEC.CSV;2023-01JAN.CSV;2023-02FEB.CSV;2023-03MAR.CSV;2023-04APR.CSV;2023-05MAY.CSV;2023-06JUN.CSV;2023-07JUL.CSV;2023-08AUG.CSV;2023-09SEP.CSV;2023-10OCT.CSV;2023-11NOV.CSV;2023-12DEC.CSV;2024-01JAN.CSV;2024-02FEB.CSV;2024-03MAR.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFPSU,60,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFPSU,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-02FEB.csv;2021-03MAR.csv;2021-04APR.csv;2021-05MAY.csv;2021-06JUN.csv;2021-07JUL.csv;2021-08AUG.CSV;2021-09SEP.CSV;2021-10OCT.CSV;2021-11NOV.CSV;2021-12DEC.CSV;2022-01JAN.csv;2022-02FEB.csv;2022-03MAR.csv;2022-04APR.csv;2022-05MAY.csv;2022-06JUN.csv;2022-07JUL.CSV;2022-08AUG.CSV;2022-09SEP.CSV;2022-10OCT.CSV;2022-11NOV.CSV;2022-12DEC.CSV;2023-01JAN.CSV;2023-02FEB.CSV;2023-03MAR.CSV;2023-04APR.CSV;2023-05MAY.CSV;2023-06JUN.CSV;2023-07JUL.CSV;2023-08AUG.CSV;2023-09SEP.CSV;2023-10OCT.CSV;2023-11NOV.CSV;2023-12DEC.CSV;2024-01JAN.CSV;2024-02FEB.CSV;2024-03MAR.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFREG,60,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFREG,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-02FEB.csv;2021-03MAR.csv;2021-04APR.csv;2021-05MAY.csv;2021-06JUN.csv;2021-07JUL.csv;2021-08AUG.CSV;2021-09SEP.CSV;2021-10OCT.CSV;2021-11NOV.CSV;2021-12DEC.CSV;2022-01JAN.csv;2022-02FEB.csv;2022-03MAR.csv;2022-04APR.csv;2022-05MAY.csv;2022-06JUN.csv;2022-07JUL.CSV;2022-08AUG.CSV;2022-09SEP.CSV;2022-10OCT.CSV;2022-11NOV.CSV;2022-12DEC.CSV;2023-01JAN.CSV;2023-02FEB.CSV;2023-03MAR.CSV;2023-04APR.CSV;2023-05MAY.CSV;2023-06JUN.CSV;2023-07JUL.CSV;2023-08AUG.CSV;2023-09SEP.CSV;2023-10OCT.CSV;2023-11NOV.CSV;2023-12DEC.CSV;2024-01JAN.CSV;2024-02FEB.CSV;2024-03MAR.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFSVYMO,60,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFSVYMO,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-02FEB.csv;2021-03MAR.csv;2021-04APR.csv;2021-05MAY.csv;2021-06JUN.csv;2021-07JUL.csv;2021-08AUG.CSV;2021-09SEP.CSV;2021-10OCT.CSV;2021-11NOV.CSV;2021-12DEC.CSV;2022-01JAN.csv;2022-02FEB.csv;2022-03MAR.csv;2022-04APR.csv;2022-05MAY.csv;2022-06JUN.csv;2022-07JUL.CSV;2022-08AUG.CSV;2022-09SEP.CSV;2022-10OCT.CSV;2022-11NOV.CSV;2022-12DEC.CSV;2023-01JAN.CSV;2023-02FEB.CSV;2023-03MAR.CSV;2023-04APR.CSV;2023-05MAY.CSV;2023-06JUN.CSV;2023-07JUL.CSV;2023-08AUG.CSV;2023-09SEP.CSV;2023-10OCT.CSV;2023-11NOV.CSV;2023-12DEC.CSV;2024-01JAN.CSV;2024-02FEB.CSV;2024-03MAR.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFSVYYR,60,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFSVYYR,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-02FEB.csv;2021-03MAR.csv;2021-04APR.csv;2021-05MAY.csv;2021-06JUN.csv;2021-07JUL.csv;2021-08AUG.CSV;2021-09SEP.CSV;2021-10OCT.CSV;2021-11NOV.CSV;2021-12DEC.CSV;2022-01JAN.csv;2022-02FEB.csv;2022-03MAR.csv;2022-04APR.csv;2022-05MAY.csv;2022-06JUN.csv;2022-07JUL.CSV;2022-08AUG.CSV;2022-09SEP.CSV;2022-10OCT.CSV;2022-11NOV.CSV;2022-12DEC.CSV;2023-01JAN.CSV;2023-02FEB.CSV;2023-03MAR.CSV;2023-04APR.CSV;2023-05MAY.CSV;2023-06JUN.CSV;2023-07JUL.CSV;2023-08AUG.CSV;2023-09SEP.CSV;2023-10OCT.CSV;2023-11NOV.CSV;2023-12DEC.CSV;2024-01JAN.CSV;2024-02FEB.CSV;2024-03MAR.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC01_LNO,60,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC01_LNO,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-02FEB.csv;2021-03MAR.csv;2021-04APR.csv;2021-05MAY.csv;2021-06JUN.csv;2021-07JUL.csv;2021-08AUG.CSV;2021-09SEP.CSV;2021-10OCT.CSV;2021-11NOV.CSV;2021-12DEC.CSV;2022-01JAN.csv;2022-02FEB.csv;2022-03MAR.csv;2022-04APR.csv;2022-05MAY.csv;2022-06JUN.csv;2022-07JUL.CSV;2022-08AUG.CSV;2022-09SEP.CSV;2022-10OCT.CSV;2022-11NOV.CSV;2022-12DEC.CSV;2023-01JAN.CSV;2023-02FEB.CSV;2023-03MAR.CSV;2023-04APR.CSV;2023-05MAY.CSV;2023-06JUN.CSV;2023-07JUL.CSV;2023-08AUG.CSV;2023-09SEP.CSV;2023-10OCT.CSV;2023-11NOV.CSV;2023-12DEC.CSV;2024-01JAN.CSV;2024-02FEB.CSV;2024-03MAR.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC05_AGE,60,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC05_AGE,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-02FEB.csv;2021-03MAR.csv;2021-04APR.csv;2021-05MAY.csv;2021-06JUN.csv;2021-07JUL.csv;2021-08AUG.CSV;2021-09SEP.CSV;2021-10OCT.CSV;2021-11NOV.CSV;2021-12DEC.CSV;2022-01JAN.csv;2022-02FEB.csv;2022-03MAR.csv;2022-04APR.csv;2022-05MAY.csv;2022-06JUN.csv;2022-07JUL.CSV;2022-08AUG.CSV;2022-09SEP.CSV;2022-10OCT.CSV;2022-11NOV.CSV;2022-12DEC.CSV;2023-01JAN.CSV;2023-02FEB.CSV;2023-03MAR.CSV;2023-04APR.CSV;2023-05MAY.CSV;2023-06JUN.CSV;2023-07JUL.CSV;2023-08AUG.CSV;2023-09SEP.CSV;2023-10OCT.CSV;2023-11NOV.CSV;2023-12DEC.CSV;2024-01JAN.CSV;2024-02FEB.CSV;2024-03MAR.CSV;2024-04APR.CSV;2024-07JUL.CSV
